n	num	area	avg_vel	std_vel	max_vel	avg_x	avg_y	std_x	std_y	max_x	max_y	num1	num2	num3	num4	num5
1144	95	12261.0	1.79	0.12	3.73	1.1	0.77	0.12	0.1	3.48	3.29	24	34	32	5	0.0
1145	116	12496.0	1.85	0.1	4.76	0.9	1.16	0.09	0.11	3.14	4.63	33	45	36	2	0.0
1146	109	11072.0	1.79	0.1	4.25	1.0	0.83	0.11	0.1	3.84	3.75	31	46	29	3	0.0
1147	113	13151.0	1.82	0.11	4.58	1.09	0.88	0.1	0.11	3.26	4.37	30	50	29	4	0.0
1148	112	10652.0	1.84	0.11	4.76	1.11	1.11	0.1	0.11	3.45	4.66	36	44	31	1	0.0
1149	117	12352.0	1.84	0.1	4.07	0.85	0.92	0.1	0.11	3.9	4.0	33	49	33	2	0.0
1150	101	13435.0	1.88	0.11	4.48	1.03	1.0	0.11	0.11	3.67	4.25	25	44	25	6	1
1151	118	12966.0	1.8	0.11	4.12	0.97	0.9	0.09	0.11	3.3	3.69	37	45	31	5	0.0
1152	114	12361.0	1.82	0.11	4.76	0.92	1.02	0.11	0.11	3.2	4.6	40	39	30	5	0.0
1153	109	11628.0	1.86	0.1	5.12	1.07	1.04	0.1	0.1	3.17	4.88	32	44	28	5	0.0
1154	99	11287.0	1.84	0.12	3.97	0.8	0.81	0.11	0.12	3.21	3.54	28	39	26	6	0.0
1155	111	13376.0	1.86	0.11	5.69	1.11	0.99	0.1	0.11	5.46	4.52	32	43	30	4	2
1156	126	13433.0	1.88	0.12	6.58	1.06	0.87	0.11	0.1	6.54	3.77	36	61	26	1	2
1157	111	12809.0	1.78	0.11	5.22	1.01	0.95	0.1	0.11	4.95	5.01	30	49	27	4	1
1158	98	10181.0	1.85	0.11	5.24	0.83	0.9	0.11	0.1	3.67	4.19	31	40	24	2	1
1159	132	11587.0	1.8	0.11	6.27	1.04	0.83	0.11	0.11	6.2	5.08	46	55	27	4	0.0
1160	101	11285.0	1.82	0.12	5.83	0.94	0.89	0.11	0.11	5.63	4.39	30	39	27	4	1
1161	118	13947.0	1.82	0.11	5.12	1.03	0.92	0.11	0.1	4.92	3.67	29	47	36	6	0.0
1162	98	10538.0	1.78	0.1	5.02	0.91	1.01	0.1	0.1	3.25	4.86	27	40	28	2	1
1163	116	12628.0	1.88	0.12	5.63	0.99	0.83	0.11	0.12	5.58	4.3	35	49	27	4	1
1164	107	11971.0	1.88	0.13	5.41	1.02	0.84	0.15	0.13	5.24	4.94	34	40	29	3	1
1165	100	10877.0	1.85	0.11	4.98	1.02	1.08	0.09	0.1	2.99	4.79	24	48	25	2	1
1166	119	12635.0	1.78	0.12	5.75	0.81	0.61	0.11	0.12	5.58	3.66	48	36	30	5	0.0
1167	107	11767.0	1.77	0.1	4.24	0.81	0.94	0.09	0.1	3.59	3.81	30	43	29	3	2
1168	106	13142.0	1.81	0.11	5.16	1.12	0.99	0.11	0.11	5.02	3.88	24	53	23	5	1
1169	115	12364.0	1.86	0.11	4.44	0.73	0.97	0.11	0.11	4.27	3.95	33	43	35	4	0.0
1170	117	12092.0	1.84	0.11	5.45	0.97	0.66	0.11	0.1	5.33	4.38	47	36	28	5	1
1171	129	13135.0	1.79	0.09	4.65	0.85	0.79	0.09	0.1	3.88	4.29	35	58	32	3	1
1172	94	9964.0	1.83	0.11	4.1	0.9	0.91	0.1	0.11	3.75	3.89	29	38	24	2	1
1173	119	11750.0	1.81	0.1	5.41	1.0	0.95	0.1	0.1	5.2	4.15	39	52	25	2	1
1174	118	14008.0	1.79	0.1	4.63	1.07	0.89	0.09	0.09	3.69	4.26	50	30	30	7	1
1175	113	14476.0	1.77	0.12	4.28	1.0	0.9	0.11	0.13	3.48	4.04	33	42	31	5	2
1176	105	11118.0	1.83	0.1	5.04	0.86	0.85	0.1	0.1	4.95	3.77	30	48	24	1	2
1177	122	12556.0	1.8	0.11	4.59	0.92	0.98	0.1	0.11	3.16	4.28	35	48	34	4	1
1178	114	12637.0	1.91	0.11	4.63	0.93	1.15	0.11	0.11	3.79	4.38	35	44	30	4	1
1179	114	12357.0	1.84	0.12	4.65	0.95	0.92	0.12	0.11	3.5	4.57	37	42	30	4	1
1180	112	13716.0	1.96	0.11	4.92	0.95	1.19	0.11	0.1	4.86	4.72	31	37	39	4	1
1181	97	12828.0	1.83	0.12	4.35	1.01	1.01	0.1	0.12	3.19	4.24	22	36	36	2	1
1182	124	11011.0	1.86	0.1	4.62	0.74	0.96	0.09	0.1	4.57	4.5	41	54	26	2	1
1183	140	12179.0	1.88	0.09	5.32	1.15	0.97	0.09	0.09	5.25	4.72	49	50	39	1	1
1184	112	10561.0	1.82	0.1	4.32	0.98	1.08	0.09	0.1	3.51	4.12	37	45	28	1	1
1185	113	12842.0	1.81	0.12	5.36	0.83	1.07	0.12	0.12	5.11	4.83	31	39	39	4	0.0
1186	108	11755.0	1.81	0.1	5.33	0.84	0.83	0.1	0.1	5.03	5.26	32	42	31	2	1
1187	135	14154.0	1.82	0.1	5.32	1.01	0.91	0.1	0.11	5.3	4.61	49	46	37	2	1
1188	104	11083.0	1.86	0.11	5.43	1.06	0.88	0.1	0.1	5.42	4.9	31	39	31	3	0.0
1189	125	12460.0	1.82	0.11	5.14	1.05	0.89	0.11	0.1	4.76	3.89	37	55	28	4	1
1190	149	14444.0	1.8	0.1	5.16	0.72	1.13	0.09	0.11	4.49	5.1	48	58	39	4	0.0
1191	130	13308.0	1.86	0.1	4.94	1.0	1.05	0.09	0.11	4.94	3.98	39	48	40	2	1
1192	101	12395.0	1.8	0.11	4.72	0.89	1.04	0.11	0.11	4.66	4.67	30	40	25	6	0.0
1193	95	11936.0	1.86	0.13	4.74	1.11	1.12	0.11	0.13	4.74	4.07	17	44	29	4	1
1194	102	11520.0	1.89	0.11	5.07	1.09	0.81	0.1	0.11	5.05	4.77	31	37	30	3	1
1195	116	12148.0	1.84	0.1	4.66	0.88	0.98	0.11	0.11	4.65	4.3	34	45	33	4	0.0
1196	114	12116.0	1.91	0.12	4.8	1.01	0.8	0.11	0.12	4.79	4.46	27	45	39	3	0.0
1197	112	11224.0	1.87	0.1	4.83	0.96	1.05	0.1	0.1	4.83	4.46	43	32	34	2	1
1198	110	12918.0	1.8	0.1	4.92	0.81	0.94	0.11	0.09	4.92	4.31	33	40	32	5	0.0
1199	139	13857.0	1.92	0.1	5.52	0.95	1.27	0.1	0.1	4.84	5.46	37	59	39	3	1
1200	137	14790.0	1.87	0.1	4.8	0.94	1.06	0.11	0.09	4.8	4.4	39	52	42	3	1
1201	139	13751.0	1.91	0.12	4.83	0.95	0.89	0.11	0.12	4.83	4.62	46	47	42	4	0.0
1202	128	12627.0	1.99	0.11	4.96	1.12	0.97	0.11	0.12	4.95	4.56	42	47	35	4	0.0
1203	128	12131.0	1.85	0.12	5.15	0.62	1.13	0.11	0.11	4.53	5.14	41	52	31	4	0.0
1204	113	10165.0	1.93	0.12	4.91	0.76	0.97	0.11	0.11	4.7	4.62	32	51	27	3	0.0
1205	131	11668.0	1.82	0.12	4.76	1.04	0.91	0.11	0.12	4.69	4.43	37	58	33	3	0.0
1206	100	9689.0	1.83	0.11	4.88	1.07	0.78	0.1	0.1	4.88	3.68	29	42	26	3	0.0
1207	120	9141.0	1.87	0.11	4.7	0.85	0.79	0.1	0.11	4.68	4.4	45	50	23	2	0.0
1208	111	9701.0	1.85	0.1	4.54	0.88	0.92	0.1	0.1	4.54	4.2	39	45	25	2	0.0
1209	105	10016.0	1.94	0.11	4.78	0.97	1.18	0.1	0.11	4.46	4.71	29	45	28	3	0.0
1210	112	10258.0	1.97	0.11	4.93	1.18	0.98	0.11	0.1	4.93	4.6	41	38	32	1	0.0
1211	105	8842.0	1.95	0.1	6.12	0.89	0.42	0.11	0.1	4.51	4.0	40	42	21	2	0.0
1212	106	11165.0	1.9	0.12	4.69	0.88	0.82	0.12	0.12	4.4	4.62	29	45	30	2	0.0
1213	121	10833.0	1.86	0.11	4.63	0.61	0.97	0.11	0.12	4.14	4.59	38	46	36	1	0.0
1214	112	10744.0	1.88	0.1	5.45	0.98	1.03	0.1	0.1	4.68	5.35	36	40	32	3	1
1215	127	11827.0	1.83	0.1	4.86	0.97	0.64	0.11	0.1	4.44	4.8	50	41	33	2	1
1216	111	10756.0	1.91	0.13	5.03	0.84	1.08	0.12	0.12	4.81	4.86	28	49	33	0.0	1
1217	103	11149.0	1.93	0.12	4.84	1.08	0.89	0.12	0.12	3.69	4.57	35	35	28	4	1
1218	102	10706.0	1.78	0.12	4.6	1.12	0.7	0.12	0.12	4.18	4.52	30	41	28	2	1
1219	105	9483.0	1.9	0.11	5.22	1.01	0.72	0.11	0.11	4.03	3.52	37	40	26	1	1
1220	102	10069.0	1.84	0.1	5.3	1.1	0.87	0.09	0.1	4.64	5.15	24	44	33	0.0	1
1221	98	8946.0	1.82	0.1	4.81	0.76	1.01	0.1	0.1	3.56	4.77	28	44	24	1	1
1222	104	11045.0	1.85	0.1	4.45	0.98	0.98	0.09	0.1	4.15	4.3	30	42	29	3	0.0
1223	96	10432.0	1.94	0.11	5.9	1.01	0.91	0.11	0.11	4.89	5.03	24	38	31	3	0.0
1224	125	10322.0	1.84	0.1	5.09	0.88	0.82	0.09	0.11	4.52	4.96	46	54	23	1	1
1225	104	9457.0	1.87	0.12	4.76	0.86	0.64	0.12	0.11	4.4	4.73	32	43	28	0.0	1
1226	108	12096.0	1.91	0.11	5.2	1.1	1.11	0.11	0.11	4.34	5.05	27	46	32	3	0.0
1227	98	9982.0	1.87	0.13	4.45	0.76	0.91	0.13	0.12	4.38	3.38	33	37	25	3	0.0
1228	111	11648.0	1.88	0.13	4.85	1.11	0.99	0.12	0.13	4.76	4.61	31	42	35	3	0.0
1229	106	9169.0	1.81	0.1	5.58	1.02	1.06	0.1	0.11	3.8	4.3	36	40	27	3	0.0
1230	94	10875.0	1.82	0.12	4.57	1.08	1.03	0.13	0.12	4.24	3.76	19	43	31	0.0	1
1231	90	8295.0	1.98	0.12	5.47	0.77	0.8	0.11	0.11	3.81	4.65	32	34	22	2	0.0
1232	119	9688.0	1.81	0.09	4.56	1.1	0.88	0.09	0.09	3.99	3.77	40	45	33	1	0.0
1233	88	9800.0	1.8	0.12	4.66	0.95	0.75	0.13	0.12	4.52	4.09	26	28	32	2	0.0
1234	100	9565.0	1.79	0.1	4.44	0.9	0.98	0.12	0.11	3.7	3.67	33	38	27	2	0.0
1235	104	10241.0	1.79	0.11	4.56	1.01	0.93	0.1	0.12	3.8	3.62	23	49	30	2	0.0
